ID,Title,Domain,Jurisdiction,Issuing Authority,Source Type,Publication/Update Date,Language,Official URL,File Name,Priority,Why Relevant,Questions Answered,Collected By
DOC-IP-001,"The Patents Act, 1970",IP,India,IP India,Act,"1970 (as amended)",English,https://ipindia.gov.in/acts/patent-act-1970,DOC-IP-001_Patents-Act-1970.pdf,P0,"Primary Indian patent law","What is a patent? What are patentability requirements? What inventions are excluded?","Devaj"
DOC-IP-002,"The Patents Rules, 2003",IP,India,IP India,Rules,"2003 (as amended)",English,https://ipindia.gov.in/acts/patent-rules-2003,DOC-IP-002_Patents-Rules-2003.pdf,P0,"Rules governing patent applications and procedures","What procedures and requirements apply to patent applications?","Devaj"
DOC-IP-003,"Guidelines for Processing of Patent Applications relating to Traditional Knowledge and Biological Material - 2012",IP/TK,India,IP India,Guidelines,2012,English,https://ipindia.gov.in/resource/patents-resources-guidelines,DOC-IP-003_TK-Biological-Material-Guidelines-2012.pdf,P0,"Directly relevant to traditional knowledge and biological material in patent examination","How can TK affect patentability? How is biological material relevant? What is the role of TKDL?","Devaj"
DOC-IP-004,"Guidelines for Examination of Ayush Related Inventions-2025",IP/AYUSH,India,IP India,Guidelines,2025,English,https://ipindia.gov.in/resource/patents-resources-guidelines,DOC-IP-004_Ayush-Related-Inventions-Guidelines-2025.pdf,P0,"Directly relevant to Ayurvedic and other AYUSH inventions","Can an Ayurvedic formulation be patented? What should be considered when examining an AYUSH invention?","Devaj"
DOC-IP-005,"Manual of Patent Office Practice and Procedure - 2019",IP,India,IP India,Manual,2019,English,https://www.ipindia.gov.in/pages/patents/publications/manuals,DOC-IP-005_Patent-Office-Manual-2019.pdf,P1,"Explains patent office practice and examination procedures","How are patent applications examined and processed?","Devaj"
DOC-IP-006,"The Trade Marks Act, 1999",IP,India,IP India,Act,1999,English,https://www.ipindia.gov.in/trade-marks-resources-act,DOC-IP-006_Trade-Marks-Act-1999.pdf,P1,"Primary Indian law for trademark protection","What is a trademark? How can a brand name or logo be protected?","Devaj"
DOC-IP-007,"Trade Marks Rules, 2017",IP,India,IP India,Rules,2017,English,https://ipindia.gov.in/trade-marks-resources-rules,DOC-IP-007_Trade-Marks-Rules-2017.pdf,P1,"Rules governing trademark registration and procedures","What procedures apply to trademark applications?","Devaj"
DOC-IP-008,"The Geographical Indications of Goods (Registration and Protection) Act, 1999",IP/GI,India,IP India,Act,1999,English,https://www.ipindia.gov.in/geographical-indications-resources-act,DOC-IP-008_GI-Act-1999.pdf,P1,"Primary Indian law for geographical indication protection","What is a GI? How are geographical indications protected?","Devaj"
DOC-IP-009,"The Geographical Indications of Goods (Registration and Protection) Rules, 2002",IP/GI,India,IP India,Rules,2002,English,https://ipindia.gov.in/geographical-indications-resources-rules,DOC-IP-009_GI-Rules-2002.pdf,P1,"Rules governing GI registration and procedures","What procedures apply to GI registration?","Devaj"
DOC-IP-010,"Manual of Geographical Indications Practice and Procedure",IP/GI,India,IP India,Manual,English,https://ipindia.gov.in/geographical-indications-resources-manual,DOC-IP-010_GI-Manual.pdf,P1,"Practical reference for GI examination and procedures","How are GI applications processed and examined?","Devaj"
DOC-IP-011,"Key Questions on Patent Disclosure Requirements for Genetic Resources and Traditional Knowledge - Second Edition",IP/TK,International,WIPO,Reference,2020,English,https://www.wipo.int/publications/en/details.jsp?id=4498,DOC-IP-011_WIPO-Patent-Disclosure-GR-TK-2020.pdf,P0,"International reference on patent disclosure involving genetic resources and TK","What disclosure issues can arise with genetic resources and traditional knowledge?","Devaj"
DOC-IP-012,"WIPO Treaty on Intellectual Property, Genetic Resources and Associated Traditional Knowledge",IP/TK,International,WIPO,Treaty,2024,English,https://www.wipo.int/en/web/treaties/ip/gratk/index,DOC-IP-012_WIPO-GRATK-Treaty-2024.pdf,P1,"International treaty concerning genetic resources and associated TK","What does the WIPO GRATK Treaty address? What disclosure requirement does it establish?","Devaj"
DOC-IP-013,"Intellectual Property and Genetic Resources, Traditional Knowledge and Traditional Cultural Expressions - An Overview",IP/TK,International,WIPO,Reference,2020,English,https://www.wipo.int/publications/en/details.jsp?id=4504,DOC-IP-013_WIPO-IP-GR-TK-Overview-2020.pdf,P1,"Provides an overview of the relationship between IP, genetic resources and TK","How are IP, genetic resources and traditional knowledge connected?","Devaj"
